Date,Open,High,Low,Close,Adj Close,Volume
2015-06-29,5340,5340,5150,5150,4978.631348,32667
2015-06-30,5210,5210,5120,5190,5017.300293,7996
2015-07-01,5220,5330,5160,5250,5075.304199,18416
2015-07-02,5340,5500,5250,5430,5249.314453,68769
2015-07-03,5540,5540,5400,5460,5278.316406,18113
2015-07-06,5490,5540,5330,5400,5220.3125,57420
2015-07-07,5470,5470,5320,5400,5220.3125,44340
2015-07-08,5430,5580,5390,5520,5336.319824,69069
2015-07-09,5510,5570,5340,5540,5355.653809,24145
2015-07-10,5510,5580,5470,5480,5297.650879,27959
2015-07-13,5570,5570,5410,5570,5384.655762,33859
2015-07-14,5600,5600,5450,5510,5326.652832,21976
2015-07-15,5590,5590,5400,5520,5336.319824,38154
2015-07-16,5500,5570,5250,5440,5258.981934,40739
2015-07-17,5560,5560,5400,5440,5258.981934,12153
2015-07-20,5540,5540,5300,5400,5220.3125,24396
2015-07-21,5480,5480,5360,5370,5191.311035,35310
2015-07-22,5370,6150,5370,5870,5674.67334,395693
2015-07-23,5850,5920,5670,5730,5539.332031,121420
2015-07-24,5680,5720,5570,5660,5471.661133,75720
2015-07-27,5640,5700,5380,5470,5287.983398,82993
2015-07-28,5460,5470,5300,5360,5181.643555,40848
2015-07-29,5420,5440,5290,5290,5113.973145,24258
2015-07-30,5300,5340,5210,5250,5075.304199,29064
2015-07-31,5270,5360,5230,5340,5162.30957,14177
2015-08-03,5410,5410,5290,5290,5113.973145,6719
2015-08-04,5350,5390,5230,5360,5181.643555,11429
2015-08-05,5430,5430,5330,5400,5220.3125,10680
2015-08-06,5390,5500,5230,5290,5113.973145,46765
2015-08-07,5290,5340,5240,5250,5075.304199,13819
2015-08-10,5270,5300,5240,5240,5065.636719,19002
2015-08-11,5240,5340,5200,5250,5075.304199,16191
2015-08-12,5250,5350,5110,5180,5007.633301,24499
2015-08-13,5180,5280,5140,5230,5055.969727,11182
2015-08-14,5230,5230,5230,5230,5055.969727,0
2015-08-17,5290,5290,5010,5060,4891.626465,14922
2015-08-18,5110,5150,4900,4905,4741.78418,32314
2015-08-19,4900,4900,4610,4850,4688.614258,72683
2015-08-20,4895,4895,4715,4740,4582.274902,21439
2015-08-21,4550,4750,4500,4750,4591.941895,84091
2015-08-24,4500,4800,4500,4580,4427.598633,25554
2015-08-25,4580,4620,4500,4605,4451.76709,70095
2015-08-26,4605,4760,4605,4750,4591.941895,23241
2015-08-27,4880,4880,4750,4755,4596.775391,12236
2015-08-28,4830,4945,4825,4870,4707.94873,10598
2015-08-31,4870,4900,4830,4870,4707.94873,10536
